Time,EEG
0.0,810.4222998145272
0.01,1856.959604850183
0.02,2316.603401331643
0.03,2773.236747892444
0.04,2966.692586134736
0.05,3033.832435545924
0.06,2885.0423650844996
0.07,2628.339703484857
0.08,2216.968415702687
0.09,1719.7874205397113
0.1,1241.6724648920035
0.11,859.8664734591772
0.12,587.4400150179165
0.13,461.164452312998
0.14,524.0068076579328
0.15,735.4098207632896
0.16,1024.8380417885585
0.17,1341.1876139086714
0.18,1628.2412260982794
0.19,1827.0510032407844
0.2,1921.644946809668
0.21,1923.6759862502631
0.22,1823.984242064883
0.23,1596.4002786607423
0.24,1269.8647925389441
0.25,937.6107691797835
0.26,704.5778891859816
0.27,639.0411898798336
0.28,769.0843124823535
0.29,1077.7742530310834
0.3,1519.8106088835073
0.31,2026.0795339044157
0.32,2521.5181330525347
0.33,2928.03844138432
0.34,3193.651754914157
0.35,3319.918187257211
0.36,3350.806660088234
0.37,3332.6402358690966
0.38,3303.098827768344
0.39,3271.1556538941572
0.4,3227.8210647473256
0.41,3162.483214607433
0.42,3074.412740919876
0.43,2957.8007780920843
0.44,2807.6939893322856
0.45,2628.0016483964464
0.46,2416.587730148226
0.47,2165.6174579783237
0.48,1910.9686129369804
0.49,1714.6117815480366
0.5,1628.2204069335824
0.51,1663.3828383184934
0.52,1805.5886475480936
0.53,2000.6034510137954
0.54,2174.733958985125
0.55,2295.3587252294865
0.56,2388.0823120103355
0.57,2459.9392014197215
0.58,2484.463825848725
0.59,2462.6430999363406
0.6,2424.369405764675
0.61,2370.053308423171
0.62,2303.2194744801695
0.63,2237.4223223470003
0.64,2144.5561323894376
0.65,1982.0966492938824
0.66,1784.2144607797943
0.67,1599.2073152227397
0.68,1415.5245709775588
0.69,1226.1855392182754
0.7,1057.2821523800317
0.71,913.976003133163
0.72,790.650868967991
0.73,702.8502398804529
0.74,650.5101768001804
0.75,589.2993143743738
0.76,500.3060792870743
0.77,397.37841457845974
0.78,270.33993376918147
0.79,97.15595640444344
0.8,-140.56752696830526
0.81,-466.08674202500015
0.82,-914.3782072916616
0.83,-1509.183026253673
0.84,-2236.116350539361
0.85,-3017.1470359974414
0.86,-3748.0053474145475
0.87,-4349.897363471838
0.88,-4784.408394823755
0.89,-5036.465114098471
0.9,-5118.316369423819
0.91,-5043.327307839226
0.92,-4809.524385616377
0.93,-4448.356921694567
0.94,-4066.261436460419
0.95,-3768.659228953341
0.96,-3601.55646713424
